iter	MultiClass
0	1.426023148
1	1.287975114
2	1.181478953
3	1.098369563
4	1.028285127
5	0.9648390446
6	0.9155709308
7	0.8722764901
8	0.833145401
9	0.7893977576
10	0.755035116
11	0.7258918436
12	0.7006445237
13	0.678103667
14	0.6560747053
15	0.6377278029
16	0.6162775277
17	0.599069682
18	0.5853493135
19	0.5732118768
20	0.5611379259
21	0.5498004658
22	0.5383708725
23	0.5273456282
24	0.5146833971
25	0.5028825887
26	0.4943563928
27	0.4857772448
28	0.4794399124
29	0.4721572575
30	0.463434206
31	0.45547219
32	0.4499778962
33	0.4442360891
34	0.4393552543
35	0.4329946554
36	0.4283801454
37	0.4241054664
38	0.4197973372
39	0.41427588
40	0.4085251143
41	0.404131773
42	0.4004131966
43	0.3967869408
44	0.3944707891
45	0.3919291322
46	0.3873852831
47	0.3846586634
48	0.3811860834
49	0.3788490084
50	0.3765426527
51	0.3746408261
52	0.3711924168
53	0.3691599274
54	0.365900991
55	0.3639915628
56	0.361182587
57	0.3581848943
58	0.3541899061
59	0.3517314674
60	0.3490815498
61	0.3469718921
62	0.3447657742
63	0.3429457917
64	0.3414816869
65	0.3395633971
66	0.3380761399
67	0.3357006636
68	0.3334434204
69	0.3318870569
70	0.3302147964
71	0.3283399989
72	0.3270764006
73	0.3256188146
74	0.3237190501
75	0.3219131646
76	0.3207769911
77	0.3193314508
78	0.3181422495
79	0.3162357891
80	0.3152582535
81	0.3136477458
82	0.3125369209
83	0.3108393371
84	0.3099773124
85	0.3081285599
86	0.3065011808
87	0.3048361014
88	0.3040027957
89	0.303392651
90	0.3024648869
91	0.3012098468
92	0.2997549322
93	0.2980314259
94	0.2966271058
95	0.2953272351
96	0.2933665016
97	0.2921988638
98	0.2907608272
99	0.2888794367
100	0.2882198816
101	0.2867664232
102	0.2860825399
103	0.2848259799
104	0.2839650946
105	0.2827675642
106	0.281491435
107	0.2807517409
108	0.2797254243
109	0.2788046867
110	0.2779207635
111	0.2765505295
112	0.2755748016
113	0.2746099728
114	0.2737607106
115	0.272682658
116	0.2712919211
117	0.2706352801
118	0.2693180848
119	0.268073884
120	0.2668965652
121	0.2658704958
122	0.2651345463
123	0.2642238296
124	0.263051551
125	0.2623596634
126	0.2616979139
127	0.2611861599
128	0.2599616794
129	0.2588203643
130	0.2576407015
131	0.2570868639
132	0.2565753005
133	0.2557088822
134	0.2551077672
135	0.2543922301
136	0.2533550062
137	0.2513705276
138	0.2504562701
139	0.2496807089
140	0.2491319508
141	0.248096209
142	0.2476432504
143	0.2471226361
