iter	Passed	Remaining
0	7	7448
1	16	8082
2	22	7623
3	30	7475
4	40	8027
5	60	10053
6	71	10082
7	79	9887
8	89	9820
9	106	10582
10	117	10560
11	143	11787
12	159	12146
13	168	11832
14	178	11706
15	186	11487
16	193	11213
17	202	11057
18	208	10777
19	214	10516
20	220	10284
21	226	10076
22	232	9892
23	238	9707
24	244	9544
25	250	9397
26	256	9255
27	262	9108
28	268	8986
29	274	8868
30	280	8758
31	286	8656
32	293	8608
33	301	8572
34	308	8503
35	315	8442
36	324	8455
37	333	8449
38	343	8460
39	349	8392
40	356	8329
41	362	8261
42	368	8207
43	375	8147
44	381	8087
45	387	8028
46	393	7971
47	399	7920
48	405	7865
49	411	7819
50	417	7769
51	423	7725
52	429	7674
53	435	7629
54	441	7577
55	446	7534
56	452	7492
57	459	7457
58	464	7415
59	471	7382
60	477	7346
61	483	7314
62	489	7283
63	496	7255
64	502	7223
65	507	7186
66	514	7158
67	519	7126
68	526	7099
69	534	7098
70	540	7070
71	546	7047
72	552	7021
73	559	6995
74	564	6966
75	572	6964
76	579	6943
77	584	6914
78	591	6891
79	597	6870
80	603	6850
81	609	6823
82	615	6800
83	622	6783
84	628	6764
85	634	6738
86	639	6716
87	646	6695
88	651	6673
89	657	6650
90	663	6631
91	669	6611
92	676	6597
93	682	6580
94	689	6568
95	696	6554
96	703	6548
97	712	6558
98	718	6537
99	725	6526
100	733	6531
101	741	6523
102	748	6517
103	757	6528
104	763	6509
105	769	6492
106	775	6473
107	781	6458
108	787	6440
109	794	6426
110	800	6407
111	805	6388
112	811	6371
113	818	6358
114	824	6341
115	830	6327
116	836	6312
117	842	6300
118	849	6286
119	855	6270
120	861	6256
121	867	6240
122	873	6226
123	879	6211
124	885	6195
125	890	6179
126	896	6164
127	902	6149
128	908	6135
129	914	6121
130	920	6106
131	928	6107
132	935	6095
133	941	6082
134	947	6071
135	953	6057
136	959	6042
137	965	6029
138	971	6018
139	977	6002
140	983	5994
141	989	5979
142	995	5965
143	1001	5954
144	1007	5940
145	1014	5934
146	1020	5921
147	1026	5907
148	1032	5894
149	1039	5890
150	1046	5882
151	1052	5872
152	1059	5865
153	1065	5854
154	1072	5844
155	1079	5838
156	1086	5833
157	1092	5822
158	1100	5821
159	1107	5815
160	1113	5802
161	1119	5790
162	1130	5805
163	1136	5794
164	1142	5783
165	1148	5772
166	1154	5760
167	1160	5749
168	1167	5741
169	1173	5730
170	1179	5718
171	1185	5708
172	1191	5697
173	1198	5687
174	1205	5683
175	1212	5678
176	1221	5678
177	1227	5669
178	1233	5659
179	1239	5648
180	1246	5639
181	1252	5630
182	1258	5619
183	1265	5611
184	1271	5601
185	1277	5590
186	1283	5581
187	1290	5573
188	1296	5563
189	1302	5552
190	1308	5542
191	1314	5532
192	1321	5523
193	1327	5515
194	1334	5508
