,amount_words,lenght_to_word,has_words_in,area_rect,b,g,r,img_name,wrods,target
0,1,0.0,1,2550,236,130,69,selenium/36_6.png, Submit ,0
1,1,0.0,1,14739,255,255,255,selenium/36_6.png, Password ,1
2,0,32.55764119219941,0,168,236,130,69,selenium/36_6.png,Disabled,6
3,0,33.54101966249684,0,1050,255,255,255,selenium/36_6.png,Example,6
4,0,19.209372712298546,0,1008,255,255,255,selenium/36_6.png,Example,6
5,0,37.8549864614954,0,600,255,255,255,selenium/36_6.png,Switches,6
6,0,50.24937810560445,0,576,255,255,255,selenium/36_6.png,Switches,6
7,0,33.734255586866,0,176,255,255,255,selenium/36_6.png,Litera,6
8,0,35.510561809129406,0,176,255,255,255,selenium/36_6.png,Help,6
9,0,36.585516259853435,0,378,255,255,255,selenium/36_6.png,Twitter,6
10,0,37.013511046643494,0,418,255,255,255,selenium/36_6.png,GitHub,6
11,33,0.0,1,884658,255,255,255,selenium/36_6.png, Bootswatch  Themes  Help  Blog  Litera  GitHub  Twitter  Checkboxes  Password  Default  checkbox  Checked  checkbox  Switches  Default  switch  checkbox  input  Checked  switch  checkbox  input  Ranges  Example  range  Disabled  range  Example  range  Submit  Navs  Tabs  Pills ,6
12,0,175.96022277776305,0,6360,255,255,255,selenium/36_6.png,Pills,6
13,0,67.42403132415029,0,6360,255,255,255,selenium/36_6.png,Navs,6
14,0,174.86065881152342,0,13860,255,255,255,selenium/36_6.png,Navs,6
15,0,223.6587802881881,0,6360,255,255,255,selenium/36_6.png,Pills,6
16,0,80.29476944359452,0,6360,255,255,255,selenium/36_6.png,Navs,6
17,0,184.22811946062956,0,13860,255,255,255,selenium/36_6.png,Navs,6
18,0,258.7856255668,0,6360,255,255,255,selenium/36_6.png,range,6
19,0,65.25335240430181,0,6360,255,255,255,selenium/36_6.png,range,6
20,0,145.038787915509,0,13860,255,255,255,selenium/36_6.png,range,6
21,0,112.12158578971312,0,8640,255,255,255,selenium/36_6.png,Password,6
22,1,0.0,1,10115,247,247,247,selenium/30_10.png, Header ,6
23,1,0.0,1,10080,231,228,225,selenium/30_10.png, Header ,6
24,7,0.0,1,40299,255,255,255,selenium/30_10.png, Header  Secondary  card  title  Some  quick  example ,6
25,7,0.0,1,40166,239,236,233,selenium/30_10.png, Header  card  Secondary  title  Some  quick  example ,6
26,2,0.0,1,56355,150,142,134,selenium/30_10.png, Image  cap ,6
27,6,0.0,1,21386,255,255,255,selenium/30_10.png, Special  title  treatment  Support  card  subtitle ,6
28,0,192.7543773822011,0,354,192,192,192,selenium/30_10.png,cap,6
